ons_code,authority,region,sfa_2018,under_index_2018,ct_total_2018,nhb_2018,nhb_return_2018,rsdg_2018
E07000164,Hambleton,YH,2.378410228,0.046019727,3.764738288,1.541827096,0,0.628843225
E09000013,Hammersmith And Fulham,L,82.92790329,1.36355648,56.66452092,6.747229037,0,0
E10000014,Hampshire,SE,136.4472911,2.650883999,608.452573,4.762893666,0,0
E31000048,Hampshire and Isle of Wight Fire and Rescue,SE,0,0,0,0,0,0
E31000017,Hampshire Fire,SE,22.13006865,0.321118707,41.20852077,0,0,0
E07000131,Harborough,EM,1.711618542,0.039030701,5.822478486,2.460274553,0,0.134300972
E09000014,Haringey,L,109.0693956,1.807378301,98.79969154,2.737307811,0,0
E07000073,Harlow,EE,3.177939681,0.068737563,6.9676452,0.824013316,0,0
E07000165,Harrogate,YH,3.60004991,0.082501144,14.47972896,1.157816235,0,0.240433802
E09000015,Harrow,L,45.49693302,0.874610517,117.8031882,3.482510519,0,0
E07000089,Hart,SE,1.329429399,0.03046609,6.739068016,2.148341143,0,0
E06000001,Hartlepool,NE,38.20589313,0.628056842,38.96254242,1.611528305,0,0
E07000062,Hastings,SE,5.216178557,0.084197781,6.59529542,0.649559313,0,0
E07000090,Havant,SE,3.510368749,0.073799756,8.08137216,1.788308333,0,0
E09000016,Havering,L,40.08891199,0.761792685,119.1250952,4.375772834,0,0
E31000018,Hereford and Worcester Fire,WM,7.89763107,0.125380087,22.57580871,0,0,0.109124885
E06000019,Herefordshire,WM,36.77091777,0.719538034,98.44504552,2.576660071,0,5.100664865
E10000015,Hertfordshire,EE,141.9379093,2.734846162,582.9770159,3.474384597,0,0
E07000098,Hertsmere,EE,2.840113538,0.060020967,7.009410144,1.360557323,0,0
E07000037,High Peak,EM,2.523324031,0.052194109,5.6299356,0.531812086,0,0
E09000017,Hillingdon,L,58.54751329,1.040949065,110.2579751,4.04006809,0,0
E07000132,Hinckley And Bosworth,EM,2.937287626,0.057287694,4.84441662,2.570832297,0,0
E07000227,Horsham,SE,1.973998156,0.045237458,9.14401202,4.826754577,0,0.010192423
E09000018,Hounslow,L,63.11093975,1.086800069,96.74658048,5.825727448,0,0
E31000020,Humberside Fire,YH,20.21559635,0.281808083,21.97251201,0,0,0
E07000011,Huntingdonshire,EE,5.012845141,0.101040928,8.44994304,2.669289693,0,0.042596669
E07000120,Hyndburn,NW,5.497638071,0.079374472,4.93210312,0.321586827,0,0
E07000202,Ipswich,EE,4.191325144,0.096051201,13.40835516,1.121088371,0,0
E06000046,Isle of Wight,SE,40.07431487,0.722385834,82.28840466,1.714580945,0,0
E06000053,Isles of Scilly,SW,3.298892423,0.033880269,1.643345494,0.010160316,0,0
E09000019,Islington,L,114.5638755,1.879342583,88.74673168,6.176098972,0,0
E09000020,Kensington And Chelsea,L,66.99757795,1.16237615,81.42126048,2.521249907,0,0
E10000016,Kent,SE,218.3835964,4.142039153,665.6115559,5.782354349,0,0
E31000022,Kent Fire,SE,21.59817166,0.328525903,46.9086922,0,0,0
E07000153,Kettering,EM,2.599028381,0.05564675,6.5211325,2.258961387,0,0
E07000146,King's Lynn And West Norfolk,EE,6.552520994,0.121049066,6.660583435,1.265443099,0,0.462830137
E06000010,Kingston upon Hull,YH,110.2988412,1.798389515,79.93892655,2.656033838,0,0
E09000021,Kingston upon Thames,L,22.7701456,0.486402723,92.08564942,2.313575493,0,0
E08000034,Kirklees,YH,102.3555319,1.822575722,172.6201998,4.661492496,0,0
E08000011,Knowsley,NW,87.1212101,1.375275961,50.60235135,1.81816746,0,0
E09000022,Lambeth,L,150.0429377,2.458529956,117.6254849,9.726368531,0,0
E10000017,Lancashire,NW,239.2438151,4.176888089,468.5314507,3.765381873,0,0
E31000023,Lancashire Fire,NW,24.34607253,0.345684711,29.16859766,0,0,0
E07000121,Lancaster,NW,6.459587092,0.126461678,9.078832,1.64951671,0,0
E08000035,Leeds,YH,198.8843253,3.492542251,301.5492119,11.16463548,0,0
E06000016,Leicester,EM,135.8261457,2.233649778,107.9479914,6.229388852,0,0
E10000018,Leicestershire,EM,68.06739728,1.363969676,285.4751725,3.640490316,0,0
E31000024,Leicestershire Fire,EM,13.43231702,0.198564636,20.49269282,0,0,0
E07000063,Lewes,SE,2.159788694,0.049441838,7.43790856,0.648750028,0,0
E09000023,Lewisham,L,128.4700806,2.097567694,104.082507,6.911266489,0,0
E07000194,Lichfield,WM,2.036154594,0.046661876,6.350741405,0.941134137,0,0
E07000138,Lincoln,EM,4.196916266,0.08408031,6.39349929,1.005908303,0,0
E10000019,Lincolnshire,EM,141.1840763,2.457120253,278.1526215,2.342342665,0,6.934924458
E08000012,Liverpool,NW,239.0549063,3.895340006,166.8986094,8.726768238,0,0
E06000032,Luton,EE,62.82050478,1.074315836,72.42681683,2.305726821,0,0
E07000110,Maidstone,SE,3.135707016,0.071859952,15.40707264,3.218597412,0,0
E07000074,Maldon,EE,1.474134604,0.033782251,4.668561804,0.695800675,0,0.030817525
E07000235,Malvern Hills,WM,1.862354109,0.04030489,4.64848594,1.230909327,0,0.227477192
E08000003,Manchester,NW,245.700533,3.940765257,149.6263962,6.419671282,0,0
E07000174,Mansfield,EM,4.321916311,0.082269052,5.33942396,0.94787027,0,0
E06000035,Medway,SE,58.68466318,1.062837828,114.6633267,2.512057668,0,0
E07000133,Melton,EM,1.329447156,0.02926641,3.61635042,0.257115504,0,0.181709572
E07000187,Mendip,SW,3.177468305,0.064069484,6.31409244,1.878371218,0,0.243274047
E31000041,Merseyside Fire,NW,31.41959417,0.443879773,27.94611494,0,0,0
E09000024,Merton,L,44.66238688,0.79272181,87.00897492,2.371131163,0,0
E07000042,Mid Devon,SW,2.308074733,0.048785235,5.600397807,1.121245987,0,0.466695488
E07000203,Mid Suffolk,EE,2.223712057,0.050132611,5.915001972,1.46338802,0,0.432985054
E07000228,Mid Sussex,SE,2.060703192,0.047224448,9.630918648,3.65666455,0,0
E06000002,Middlesbrough,NE,60.79929836,1.014423475,51.88026448,2.349284853,0,0
E06000042,Milton Keynes,SE,56.17766211,1.024406194,111.2818408,5.962819847,0,0
E07000210,Mole Valley,SE,1.237236177,0.028353329,6.9941978,0.452125182,0,0
E07000091,New Forest,SE,3.93756755,0.088118989,11.88975156,0.694694339,0,0
E07000175,Newark And Sherwood,EM,4.130076351,0.08107234,6.524780454,1.49108709,0,0.03798275
E07000195,Newcastle-under-Lyme,WM,4.182544212,0.082357111,7.0108454,1.26169739,0,0
E08000021,Newcastle upon Tyne,NE,122.3437976,1.992606107,103.9529707,6.744926783,0,0
E09000025,Newham,L,153.6379155,2.457266363,72.81071325,11.31633704,0,0
E10000020,Norfolk,EE,207.1510032,3.417242588,383.1406491,3.030308997,0,3.981474788
E07000043,North Devon,SW,3.321947799,0.06592821,5.95245474,1.313521804,0,0.31019097
E07000050,North Dorset,SW,1.778890345,0.036578332,3.308209416,0.81997117,0,0.304999103
E07000038,North East Derbyshire,EM,3.036032085,0.061765648,5.714083674,0.920291227,0,0
E06000012,North East Lincolnshire,YH,51.61529675,0.875848779,63.31349251,0.546559318,0,0
E07000099,North Hertfordshire,EE,2.622158302,0.060091128,10.97552883,1.263748681,0,0
E07000139,North Kesteven,EM,3.33587545,0.068639109,5.862825,1.854714873,0,0.359516242
E06000013,North Lincolnshire,YH,42.12274841,0.731224625,69.47475787,0.956181181,0,0.205516169
E07000147,North Norfolk,EE,3.638040228,0.071097158,5.73036408,1.14959172,0,0.483771406
E06000061,North Northamptonshire,EM,0,0,0,0,0,0
E06000024,North Somerset,SW,37.49181072,0.700628218,104.6502756,3.653138567,0,0
E08000022,North Tyneside,NE,63.37669081,1.064758564,89.90235144,2.320551862,0,0
E07000218,North Warwickshire,WM,2.039956372,0.042361147,4.26123807,0.902242238,0,0
E07000134,North West Leicestershire,EM,2.547422471,0.052985552,5.67288336,2.904588564,0,0
E10000023,North Yorkshire,YH,72.69510464,1.492746751,287.7582686,1.737086372,0,8.284704416
E31000027,North Yorkshire Fire,YH,8.817434305,0.135675073,20.55860724,0,0,0.514658886
E31000027,"North Yorkshire Police, Fire and Crime Commissioner",YH,0,0,0,0,0,0
E07000154,Northampton,EM,7.45758316,0.15059846,14.66413072,3.082155797,0,0
E10000021,Northamptonshire,EM,111.0069128,2.028442388,296.2053512,3.881606257,0,0
